ASV_7106	"Eukaryota"
ASV_295	"Paramoeba pemaquidensis"
ASV_4525	"Paramoeba pemaquidensis"
ASV_4541	"Pseudoparamoeba pagei"
ASV_5982	"Vexillifera kereti"
ASV_319	"Parvamoeba rugata"
ASV_7011	"Parvamoeba rugata"
ASV_1874	"Squamamoeba japonica"
ASV_6349	"Squamamoeba japonica"
ASV_6711	"Squamamoeba japonica"
ASV_1819	"Hemiselmis andersenii"
ASV_829	"Leucocryptos marina"
ASV_5290	"Leucocryptos marina"
ASV_3620	"Rhodomonas salina"
ASV_8979	"Rhodomonas salina"
ASV_284	"Emiliania huxleyi"
ASV_1778	"Emiliania huxleyi"
ASV_2457	"Emiliania huxleyi"
ASV_5733	"Emiliania huxleyi"
ASV_1444	"Phaeocystis globosa"
ASV_5398	"Cladosporium"
ASV_8952	"Cladosporium cladosporioides"
ASV_7192	"Dicentrarchus labrax"
ASV_7205	"Dicentrarchus labrax"
ASV_7204	"Symphodus"
ASV_3990	"Zoarcales"
ASV_2288	"Ammodytidae"
ASV_1477	"Gobiusculus flavescens"
ASV_6286	"Atherina presbyter"
ASV_2307	"Coryphoblennius galerita"
ASV_237	"Lipophrys pholis"
ASV_256	"Lipophrys pholis"
ASV_647	"Lipophrys pholis"
ASV_1503	"Lipophrys pholis"
ASV_1542	"Lipophrys pholis"
ASV_2088	"Lipophrys pholis"
ASV_2227	"Lipophrys pholis"
ASV_2806	"Lipophrys pholis"
ASV_2821	"Lipophrys pholis"
ASV_2951	"Lipophrys pholis"
ASV_3111	"Lipophrys pholis"
ASV_51	"Gaidropsarus"
ASV_4840	"Ciliata mustela"
ASV_4353	"Ovis"
ASV_8158	"Halichoerus grypus"
ASV_1626	"Haematopus"
ASV_955	"Larus"
ASV_5565	"Larus"
ASV_6122	"Larus"
ASV_9009	"Mantidactylus charlotteae"
ASV_3102	"Diplosoma listerianum"
ASV_4906	"Diplosoma listerianum"
ASV_720	"Botrylloides leachii"
ASV_3804	"Asterias rubens"
ASV_7839	"Acrocnida brachiata"
ASV_2819	"Amphipholis squamata"
ASV_3236	"Amphipholis squamata"
ASV_5946	"Amphipholis squamata"
ASV_4903	"Ophiothrix fragilis"
ASV_7118	"Ophiothrix fragilis"
ASV_8021	"Ophiothrix fragilis"
ASV_4955	"Echinocardium cordatum"
ASV_3549	"Echinidae"
ASV_7858	"Loa loa"
ASV_301	"Acartia clausii"
ASV_1760	"Acartia margalefi"
ASV_880	"Centropages hamatus"
ASV_8517	"Centropages hamatus"
ASV_2652	"Isias clavipes"
ASV_3782	"Paracalanus parvus"
ASV_2378	"Temora longicornis"
ASV_5382	"Temora longicornis"
ASV_142	"Oithona nana"
ASV_145	"Oithona nana"
ASV_453	"Oithona nana"
ASV_894	"Oithona nana"
ASV_921	"Oithona nana"
ASV_1876	"Oithona nana"
ASV_4195	"Oithona nana"
ASV_8635	"Oithona nana"
ASV_6481	"Oithona similis"
ASV_3845	"Euterpina acutifrons"
ASV_5669	"Harpacticus flexus"
ASV_2679	"Haloschizopera pygmaea"
ASV_1565	"Oncaea"
ASV_2925	"Oncaea"
ASV_3199	"Porcellana platycheles"
ASV_6689	"Cancer pagurus"
ASV_152	"Portunoidea"
ASV_397	"Portunoidea"
ASV_456	"Portunoidea"
ASV_588	"Portunoidea"
ASV_1329	"Portunoidea"
ASV_1374	"Portunoidea"
ASV_1437	"Portunoidea"
ASV_1650	"Portunoidea"
ASV_1861	"Portunoidea"
ASV_2303	"Portunoidea"
ASV_2641	"Portunoidea"
ASV_4199	"Portunoidea"
ASV_4322	"Portunoidea"
ASV_5248	"Portunoidea"
ASV_5641	"Portunoidea"
ASV_6321	"Polybiidae"
ASV_7217	"Liocarcinus marmoreus"
ASV_1479	"Necora puber"
ASV_2429	"Necora puber"
ASV_2631	"Necora puber"
ASV_55	"Monodaeus"
ASV_525	"Monodaeus"
ASV_1012	"Monodaeus"
ASV_2177	"Palaemon elegans"
ASV_3368	"Palaemon elegans"
ASV_3581	"Palaemon elegans"
ASV_5642	"Palaemon elegans"
ASV_5579	"Atylus swammerdami"
ASV_9032	"Atylus swammerdami"
ASV_7604	"Dexamine thea"
ASV_6129	"Senticaudata"
ASV_9209	"Caprella acanthifera"
ASV_7628	"Phtisica marina"
ASV_4071	"Jassa falcata"
ASV_5219	"Jassa falcata"
ASV_8726	"Jassa falcata"
ASV_9000	"Jassa falcata"
ASV_5724	"Gammaridae"
ASV_4319	"Gammarus locusta"
ASV_1308	"Pectenogammarus planicrurus"
ASV_3328	"Pectenogammarus planicrurus"
ASV_21	"Calliopius laeviusculus"
ASV_279	"Calliopius laeviusculus"
ASV_6116	"Melita palmata"
ASV_143	"Apohyale stebbingi"
ASV_3864	"Asellus aquaticus"
ASV_4690	"Dynamene bidentata"
ASV_2042	"Balanomorpha"
ASV_2145	"Balanomorpha"
ASV_2386	"Balanomorpha"
ASV_3154	"Balanomorpha"
ASV_136	"Balanidae"
ASV_236	"Balanidae"
ASV_405	"Balanidae"
ASV_527	"Balanidae"
ASV_585	"Balanidae"
ASV_624	"Balanidae"
ASV_672	"Balanidae"
ASV_1090	"Balanidae"
ASV_1191	"Balanidae"
ASV_1762	"Balanidae"
ASV_3194	"Balanidae"
ASV_3252	"Balanidae"
ASV_3298	"Balanidae"
ASV_4154	"Balanus balanus"
ASV_4132	"Perforatus perforatus"
ASV_182	"Semibalanus balanoides"
ASV_465	"Semibalanus balanoides"
ASV_965	"Semibalanus balanoides"
ASV_1015	"Semibalanus balanoides"
ASV_1269	"Semibalanus balanoides"
ASV_1326	"Semibalanus balanoides"
ASV_1640	"Semibalanus balanoides"
ASV_1726	"Semibalanus balanoides"
ASV_1806	"Semibalanus balanoides"
ASV_1820	"Semibalanus balanoides"
ASV_2043	"Semibalanus balanoides"
ASV_2556	"Semibalanus balanoides"
ASV_3110	"Semibalanus balanoides"
ASV_4077	"Chthamalus montagui"
ASV_8230	"Chthamalus montagui"
ASV_2353	"Verruca stroemia"
ASV_4164	"Hypogastrura"
ASV_6421	"Anurida maritima"
ASV_1890	"Endopterygota"
ASV_3396	"Eristalinus"
ASV_5	"Teleopsis dalmanni"
ASV_64	"Teleopsis dalmanni"
ASV_171	"Teleopsis dalmanni"
