ASV_3828	"Algibacter sp. L3A6"
ASV_4841	"Cellulophaga sp. HaHaR_3_176"
ASV_1129	"unclassified Flavobacterium"
ASV_200	"unclassified Flavobacterium"
ASV_3112	"Formosa sp. Hel3_A1_48"
ASV_4248	"Formosa sp. Hel3_A1_48"
ASV_5940	"Formosa sp. Hel3_A1_48"
ASV_2815	"unclassified Polaribacter"
ASV_1710	"unclassified Polaribacter"
ASV_2574	"unclassified Polaribacter"
ASV_3920	"unclassified Polaribacter"
ASV_4192	"unclassified Polaribacter"
ASV_1127	"Polaribacter sp. KT 15"
ASV_3231	"Polaribacter sp. KT 15"
ASV_3919	"Polaribacter sp. KT 15"
ASV_2424	"Polaribacter sp. KT 15"
ASV_8978	"Winogradskyella sp. PAMC22761"
ASV_402	"alpha proteobacterium HIMB59"
ASV_2132	"alpha proteobacterium HIMB59"
ASV_1513	"Eukaryota"
ASV_6163	"Eukaryota"
ASV_295	"Paramoeba pemaquidensis"
ASV_4525	"Paramoeba pemaquidensis"
ASV_4541	"Pseudoparamoeba pagei"
ASV_1901	"Vexillifera sp. AKu-2020a"
ASV_5982	"Vexillifera kereti"
ASV_319	"Parvamoeba rugata"
ASV_7011	"Parvamoeba rugata"
ASV_6349	"Squamamoeba japonica"
ASV_6711	"Squamamoeba japonica"
ASV_1874	"Squamamoeba japonica"
ASV_1819	"Hemiselmis andersenii"
ASV_829	"Leucocryptos marina"
ASV_5290	"Leucocryptos marina"
ASV_8979	"Rhodomonas salina"
ASV_3620	"Rhodomonas salina"
ASV_537	"zooplankton environmental sample"
ASV_272	"zooplankton environmental sample"
ASV_618	"zooplankton environmental sample"
ASV_822	"zooplankton environmental sample"
ASV_1348	"zooplankton environmental sample"
ASV_6586	"zooplankton environmental sample"
ASV_7374	"zooplankton environmental sample"
ASV_1087	"Picobiliphyte sp. MS584-11"
ASV_3481	"Picobiliphyte sp. MS584-11"
ASV_7269	"Picobiliphyte sp. MS584-11"
ASV_3970	"Picobiliphyte sp. MS584-11"
ASV_2457	"Emiliania huxleyi"
ASV_5733	"Emiliania huxleyi"
ASV_284	"Emiliania huxleyi"
ASV_1778	"Emiliania huxleyi"
ASV_1444	"Phaeocystis globosa"
ASV_5398	"Cladosporium"
ASV_8952	"Cladosporium cladosporioides"
ASV_243	"Meira sp."
ASV_505	"Meira sp."
ASV_659	"Meira sp."
ASV_697	"Meira sp."
ASV_873	"Meira sp."
ASV_1013	"Meira sp."
ASV_36	"Meira sp."
ASV_584	"Meira sp."
ASV_5529	"invertebrate environmental sample"
ASV_6130	"invertebrate environmental sample"
ASV_8412	"invertebrate environmental sample"
ASV_2307	"Percomorphaceae"
ASV_7205	"Dicentrarchus labrax"
ASV_7192	"Dicentrarchus labrax"
ASV_7204	"Symphodus"
ASV_3990	"Zoarcales"
ASV_2288	"Ammodytidae"
ASV_1477	"Gobiusculus flavescens"
ASV_6286	"Atherina"
ASV_237	"Blenniidae"
ASV_647	"Blenniidae"
ASV_1503	"Blenniidae"
ASV_2227	"Blenniidae"
ASV_2821	"Blenniidae"
ASV_2951	"Blenniidae"
ASV_3111	"Blenniidae"
ASV_256	"Blenniidae"
ASV_1542	"Blenniidae"
ASV_2088	"Blenniidae"
ASV_2806	"Blenniidae"
ASV_51	"Gaidropsarus"
ASV_4840	"Lotidae"
ASV_4353	"Ovis aries musimon"
ASV_8158	"Halichoerus grypus"
ASV_955	"Aves"
ASV_5565	"Aves"
ASV_1626	"Aves"
ASV_6122	"Aves"
ASV_3102	"Diplosoma listerianum"
ASV_4906	"Diplosoma listerianum"
ASV_720	"Botrylloides leachii"
ASV_3804	"Asterias rubens"
ASV_7839	"Acrocnida brachiata"
ASV_2819	"Amphipholis squamata"
ASV_3236	"Amphipholis squamata"
ASV_5946	"Amphipholis squamata"
ASV_4903	"Ophiothrix fragilis"
ASV_8021	"Ophiothrix fragilis"
ASV_7118	"Ophiothrix fragilis"
ASV_4955	"Echinocardium cordatum"
ASV_3549	"Echinidae"
ASV_2926	"Litoditis aff. marina PmIV"
ASV_8997	"Parasitidae sp. BOLD:AAF9232"
ASV_113	"Moina sp. ARRV-2013"
ASV_811	"Moina sp. ARRV-2013"
ASV_1041	"Moina sp. ARRV-2013"
ASV_334	"Moina sp. ARRV-2013"
ASV_564	"Moina sp. ARRV-2013"
ASV_1094	"Moina sp. ARRV-2013"
ASV_4154	"Multicrustacea"
ASV_3845	"Neocopepoda"
ASV_301	"Acartia clausii"
ASV_1760	"Acartia margalefi"
ASV_8517	"Centropages hamatus"
ASV_880	"Centropages hamatus"
ASV_2652	"Isias clavipes"
ASV_3782	"Paracalanus parvus"
ASV_2378	"Temora longicornis"
ASV_5382	"Temora longicornis"
ASV_145	"Oithona nana"
ASV_453	"Oithona nana"
ASV_921	"Oithona nana"
ASV_4195	"Oithona nana"
ASV_8635	"Oithona nana"
ASV_142	"Oithona nana"
ASV_894	"Oithona nana"
ASV_1876	"Oithona nana"
ASV_6481	"Oithona similis"
ASV_5669	"Harpacticoida"
ASV_8223	"Ectinosomatidae sp. SR-2019"
ASV_1338	"Ectinosomatidae sp. SR-2019"
ASV_4984	"Ectinosomatidae sp. SR-2019"
ASV_1859	"Longipedia sp. DZMB181"
ASV_1072	"Longipedia sp. DZMB181"
ASV_1632	"Longipedia sp. DZMB181"
ASV_2679	"Haloschizopera pygmaea"
ASV_1565	"Oncaea"
ASV_2925	"Oncaea"
ASV_3199	"Porcellana platycheles"
ASV_6689	"Cancer pagurus"
ASV_397	"Portunoidea"
ASV_1329	"Portunoidea"
ASV_1437	"Portunoidea"
ASV_1861	"Portunoidea"
ASV_2303	"Portunoidea"
ASV_2641	"Portunoidea"
ASV_4199	"Portunoidea"
ASV_5641	"Portunoidea"
ASV_152	"Portunoidea"
ASV_456	"Portunoidea"
ASV_588	"Portunoidea"
ASV_1374	"Portunoidea"
ASV_1650	"Portunoidea"
ASV_4322	"Portunoidea"
ASV_5248	"Portunoidea"
ASV_6321	"Polybiidae"
ASV_7217	"Liocarcinus marmoreus"
ASV_1479	"Necora puber"
ASV_2429	"Necora puber"
ASV_2631	"Necora puber"
ASV_55	"Monodaeus"
ASV_525	"Monodaeus"
ASV_1012	"Monodaeus"
ASV_2177	"Palaemon elegans"
ASV_3581	"Palaemon elegans"
ASV_3368	"Palaemon elegans"
ASV_5642	"Palaemon elegans"
ASV_5579	"Atylus swammerdami"
ASV_9032	"Atylus swammerdami"
ASV_7604	"Dexamine thea"
ASV_6129	"Senticaudata"
ASV_9209	"Caprella acanthifera"
ASV_7628	"Phtisica marina"
ASV_4071	"Jassa falcata"
ASV_5219	"Jassa falcata"
ASV_8726	"Jassa falcata"
ASV_9000	"Jassa falcata"
ASV_5724	"Gammaridae"
ASV_4319	"Gammarus locusta"
ASV_1308	"Pectenogammarus planicrurus"
ASV_3328	"Pectenogammarus planicrurus"
ASV_21	"Calliopius laeviusculus"
ASV_279	"Calliopius laeviusculus"
ASV_6116	"Melita palmata"
ASV_143	"Hyalidae sp. C2F4"
ASV_2635	"Amphipoda sp. DNAS-1B6-193928"
ASV_3864	"Asellus aquaticus"
ASV_4690	"Dynamene bidentata"
ASV_2145	"Balanomorpha"
ASV_2042	"Balanomorpha"
ASV_2386	"Balanomorpha"
ASV_3154	"Balanomorpha"
ASV_405	"Balanidae"
ASV_527	"Balanidae"
ASV_585	"Balanidae"
ASV_1191	"Balanidae"
ASV_136	"Balanidae"
ASV_236	"Balanidae"
ASV_624	"Balanidae"
ASV_672	"Balanidae"
ASV_1090	"Balanidae"
ASV_1762	"Balanidae"
ASV_3194	"Balanidae"
ASV_3252	"Balanidae"
ASV_3298	"Balanidae"
ASV_4132	"Balanidae"
ASV_465	"Semibalanus balanoides"
ASV_965	"Semibalanus balanoides"
ASV_1015	"Semibalanus balanoides"
ASV_1269	"Semibalanus balanoides"
ASV_2043	"Semibalanus balanoides"
ASV_182	"Semibalanus balanoides"
ASV_1326	"Semibalanus balanoides"
ASV_1640	"Semibalanus balanoides"
ASV_1726	"Semibalanus balanoides"
ASV_1806	"Semibalanus balanoides"
ASV_1820	"Semibalanus balanoides"
ASV_2556	"Semibalanus balanoides"
ASV_3110	"Semibalanus balanoides"
ASV_4077	"Chthamalus montagui"
ASV_8230	"Chthamalus montagui"
ASV_2353	"Verruca stroemia"
ASV_4164	"Hypogastrura"
ASV_6421	"Anurida maritima"
ASV_5158	"Neoptera"
ASV_1890	"Endopterygota"
ASV_3396	"Eristalinus"
ASV_5	"Teleopsis dalmanni"
ASV_171	"Teleopsis dalmanni"
ASV_225	"Teleopsis dalmanni"
ASV_403	"Teleopsis dalmanni"
ASV_1151	"Teleopsis dalmanni"
ASV_9213	"Teleopsis dalmanni"
ASV_64	"Teleopsis dalmanni"
ASV_196	"Teleopsis dalmanni"
ASV_526	"Teleopsis dalmanni"
ASV_744	"Teleopsis dalmanni"
ASV_1232	"Teleopsis dalmanni"
ASV_1392	"Teleopsis dalmanni"
ASV_1500	"Teleopsis dalmanni"
ASV_1564	"Teleopsis dalmanni"
ASV_4287	"Coelopa frigida"
ASV_6444	"Coelopa frigida"
ASV_4715	"Halocladius variabilis"
ASV_8587	"Halocladius variabilis"
ASV_7106	"Telenomus sp. BOLD:AAN7986"
ASV_4438	"unclassified Anoecia"
ASV_2281	"Thrips tabaci"
ASV_8830	"Echiniscoides sp. SigiSouth"
ASV_3011	"Chaetognatha environmental sample"
ASV_3171	"Chaetognatha environmental sample"
ASV_445	"Synchaeta triophthalma"
ASV_481	"Synchaeta triophthalma"
ASV_1131	"Synchaeta triophthalma"
ASV_1693	"Synchaeta triophthalma"
ASV_1867	"Synchaeta triophthalma"
ASV_2439	"Synchaeta triophthalma"
ASV_278	"Synchaeta triophthalma"
ASV_5089	"Lumbricillus lineatus"
ASV_5144	"Lumbricillus lineatus"
ASV_6390	"Lumbricillus lineatus"
ASV_6984	"Lumbricillus lineatus"
ASV_9005	"Lumbricillus viridis"
ASV_2946	"Lumbricillus viridis"
ASV_8702	"Paranais litoralis"
ASV_8927	"Aktedrilus arcticus"
ASV_7285	"Baltidrilus costatus"
ASV_5297	"Clitellio arenarius"
ASV_6256	"Clitellio arenarius"
ASV_4950	"Clitellio sp. BOLD:AAG8543"
ASV_2893	"Tubificoides benedii"
ASV_532	"Tubificoides benedii"
ASV_3505	"Glycera"
ASV_1770	"Glycera"
ASV_3736	"Glycera"
ASV_6922	"Glycera"
ASV_6564	"Nereididae"
ASV_2432	"Platynereis"
ASV_8786	"Platynereis dumerilii"
ASV_5914	"Eulalia <segmented worms>"
ASV_2918	"Eumida maia"
ASV_8788	"Eumida maia"
ASV_3599	"Polynoidae"
ASV_1440	"Polynoe scolopendrina"
ASV_7441	"Polynoidae sp. BOLD:AAY5847"
ASV_1821	"Sthenelais boa"
ASV_4646	"Sthenelais boa"
ASV_8458	"Sthenelais boa"
ASV_3313	"Amblyosyllis"
ASV_4017	"Eusyllis blomstrandi"
ASV_9204	"Proceraea"
ASV_8188	"Trypanosyllis zebra"
ASV_59	"Dinophilus vorticoides"
ASV_1885	"Dinophilus vorticoides"
ASV_3869	"Nerilla antennata"
ASV_3891	"Nerilla antennata"
ASV_2687	"Protodrilus adhaerens"
ASV_3589	"Protodrilus adhaerens"
