ASV_7276	"cellular organisms"
ASV_13202	"uncultured marine bacterium 582"
ASV_15276	"uncultured marine bacterium 582"
ASV_16270	"uncultured marine bacterium 582"
ASV_21248	"uncultured marine bacterium 582"
ASV_1043	"Algibacter sp. L1A34"
ASV_1713	"Algibacter sp. L3A6"
ASV_14517	"Algibacter sp. L3A6"
ASV_15461	"Algibacter sp. L3A6"
ASV_1335	"Cellulophaga"
ASV_7093	"Cellulophaga"
ASV_5734	"unclassified Cellulophaga"
ASV_1840	"Cellulophaga sp. HaHaR_3_176"
ASV_2349	"Cellulophaga sp. HaHaR_3_176"
ASV_12254	"Cellulophaga sp. HaHaR_3_176"
ASV_21621	"Formosa sp. Hel1_33_131"
ASV_11175	"Nonlabens dokdonensis DSW-6"
ASV_2044	"Winogradskyella sp. PAMC22761"
ASV_2930	"Winogradskyella helgolandensis"
ASV_21689	"Winogradskyella helgolandensis"
ASV_21848	"Roseomonas"
ASV_19	"Eukaryota"
ASV_9578	"Eukaryota"
ASV_11421	"Eukaryota"
ASV_820	"Paramoeba pemaquidensis"
ASV_18576	"Vexillifera kereti"
ASV_22679	"Vexillifera kereti"
ASV_19949	"Vannella sp."
ASV_280	"Parvamoeba rugata"
ASV_10580	"Parvamoeba rugata"
ASV_20723	"Parvamoeba rugata"
ASV_1834	"Squamamoeba japonica"
ASV_20302	"Amoebozoa sp."
ASV_13354	"Goniomonas avonlea"
ASV_19418	"Chroomonas placoidea"
ASV_452	"Bodo saltans"
ASV_5649	"zooplankton environmental sample"
ASV_5810	"zooplankton environmental sample"
ASV_11809	"zooplankton environmental sample"
ASV_13788	"zooplankton environmental sample"
ASV_14721	"zooplankton environmental sample"
ASV_24233	"zooplankton environmental sample"
ASV_1246	"Picobiliphyte sp. MS584-11"
ASV_1699	"Picobiliphyte sp. MS584-11"
ASV_2884	"Picobiliphyte sp. MS584-11"
ASV_3534	"Picobiliphyte sp. MS584-11"
ASV_24	"Emiliania huxleyi"
ASV_341	"Emiliania huxleyi"
ASV_2453	"Emiliania huxleyi"
ASV_292	"Phaeocystis globosa"
ASV_1684	"Phaeocystis globosa"
ASV_17788	"Opisthokonta"
ASV_25157	"Cladosporium"
ASV_24045	"Blumeria graminis f. sp. tritici"
ASV_391	"Meira sp."
ASV_6039	"invertebrate environmental sample"
ASV_19794	"Rajiformes"
ASV_22046	"Rajiformes"
ASV_3701	"Actinopterygii"
ASV_7875	"Limanda"
ASV_11428	"Limanda"
ASV_17988	"Microstomus kitt"
ASV_23569	"Microstomus kitt"
ASV_4664	"Centrolabrus exoletus"
ASV_15404	"Ctenolabrus rupestris"
ASV_21680	"Ctenolabrus rupestris"
ASV_3187	"Labrus bergylta"
ASV_4230	"Symphodus"
ASV_12745	"Myoxocephalus"
ASV_20215	"Taurulus bubalis"
ASV_7758	"Cyclopterus lumpus"
ASV_8375	"Liparis montagui"
ASV_4502	"Gasterosteus"
ASV_17147	"Gasterosteus"
ASV_18620	"Gasterosteus"
ASV_10590	"Spinachia spinachia"
ASV_19141	"Spinachia spinachia"
ASV_5898	"Zoarcales"
ASV_12646	"Chelidonichthys cuculus"
ASV_2634	"Eutrigla gurnardus"
ASV_2750	"Eutrigla gurnardus"
ASV_6482	"Eutrigla gurnardus"
ASV_2538	"Ammodytidae"
ASV_9609	"Ammodytidae"
ASV_10445	"Ammodytidae"
ASV_11604	"Ammodytidae"
ASV_13491	"Ammodytidae"
ASV_13502	"Ammodytidae"
ASV_1319	"Ammodytes"
ASV_1914	"Ammodytes"
ASV_8533	"Ammodytes"
ASV_9475	"Ammodytes"
ASV_461	"Gymnammodytes semisquamatus"
ASV_7104	"Gymnammodytes semisquamatus"
ASV_15044	"Gobiidae"
ASV_21683	"Buenia jeffreysii"
ASV_2219	"Crystallogobius linearis"
ASV_12352	"Pomatoschistus minutus"
ASV_18084	"Pomatoschistus minutus"
ASV_2722	"Blenniidae"
ASV_3876	"Blenniidae"
ASV_4569	"Blenniidae"
ASV_4869	"Blenniidae"
ASV_6448	"Blenniidae"
ASV_8440	"Blenniidae"
ASV_9009	"Blenniidae"
ASV_13850	"Blenniidae"
ASV_16895	"Blenniidae"
ASV_17104	"Blenniidae"
ASV_59	"Scomber scombrus"
ASV_494	"Scomber scombrus"
ASV_1130	"Scomber scombrus"
ASV_1492	"Scomber scombrus"
ASV_2633	"Gadus morhua"
ASV_18932	"Gadus morhua"
ASV_2702	"Merlangius merlangus"
ASV_3954	"Merlangius merlangus"
ASV_19724	"Pollachius pollachius"
ASV_21381	"Pollachius pollachius"
ASV_1571	"Trisopterus esmarkii"
ASV_9834	"Trisopterus minutus"
ASV_71	"Gaidropsarus"
ASV_1323	"Gaidropsarus"
ASV_19382	"Gaidropsarus"
ASV_20900	"Gaidropsarus"
ASV_23587	"Gaidropsarus"
ASV_4589	"Gaidropsarus vulgaris"
ASV_3170	"Lotidae"
ASV_13558	"Lotidae"
ASV_21450	"Lotidae"
ASV_1570	"Molva molva"
ASV_5062	"Molva molva"
ASV_2654	"Clupea harengus"
ASV_9993	"Clupea harengus"
ASV_1562	"Sprattus sprattus"
ASV_2391	"Sprattus sprattus"
ASV_16520	"Sprattus sprattus"
ASV_10844	"Rattus norvegicus"
ASV_436	"Homo sapiens"
ASV_11043	"Homo sapiens"
ASV_13046	"Homo sapiens"
ASV_12255	"Ovis aries musimon"
ASV_3404	"Sus scrofa"
ASV_16547	"Canis lupus familiaris"
ASV_24019	"Halichoerus grypus"
ASV_961	"Aves"
ASV_2302	"Aves"
ASV_3863	"Aves"
ASV_4115	"Aves"
ASV_4731	"Aves"
ASV_18068	"Aves"
ASV_9228	"Uria aalge"
ASV_18225	"Stercorarius"
ASV_19926	"Stercorarius"
ASV_19200	"Riparia riparia riparia"
ASV_6974	"Diplosoma listerianum"
ASV_3037	"Ascidiella scabra"
ASV_12266	"Ascidiella scabra"
ASV_240	"Botrylloides leachii"
ASV_890	"Botrylloides leachii"
ASV_3795	"Botrylloides leachii"
ASV_4469	"Botrylloides leachii"
ASV_21486	"Botrylloides leachii"
ASV_2428	"Botryllus schlosseri"
ASV_23869	"Dendrodoa grossularia"
ASV_2660	"Asterias rubens"
ASV_6067	"Asterias rubens"
ASV_11669	"Asterias rubens"
ASV_6459	"Marthasterias glacialis"
ASV_7864	"Marthasterias glacialis"
ASV_17432	"Marthasterias glacialis"
ASV_7620	"Henricia"
ASV_17358	"Astropecten irregularis complex sp. 2 SL-2017"
ASV_14355	"Luidia sarsi"
ASV_20426	"Amphipholis squamata"
ASV_22139	"Amphipholis squamata"
ASV_19798	"Amphiura filiformis"
ASV_736	"Ophiactis balli"
ASV_6164	"Ophiactis balli"
ASV_10163	"Ophiactis balli"
ASV_14777	"Ophiactis balli"
ASV_9360	"Ophiocomina nigra"
ASV_17103	"Ophiocomina nigra"
ASV_20503	"Ophiocomina nigra"
ASV_23435	"Ophiocomina nigra"
ASV_7122	"Ophiothrix fragilis"
ASV_7670	"Ophiothrix fragilis"
ASV_9595	"Ophiothrix fragilis"
ASV_12056	"Ophiothrix fragilis"
ASV_13146	"Ophiothrix fragilis"
ASV_13520	"Ophiothrix fragilis"
ASV_13792	"Ophiothrix fragilis"
ASV_13807	"Ophiothrix fragilis"
ASV_17059	"Ophiothrix fragilis"
ASV_18845	"Ophiothrix fragilis"
ASV_21101	"Ophiothrix fragilis"
ASV_23753	"Ophiothrix fragilis"
ASV_11150	"Echinocardium cordatum"
ASV_12035	"Echinocardium cordatum"
ASV_13079	"Echinocardium cordatum"
ASV_15407	"Echinocardium cordatum"
ASV_16115	"Echinocardium cordatum"
ASV_24239	"Echinocardium cordatum"
ASV_13013	"Spatangus purpureus"
ASV_19751	"Spatangus purpureus"
ASV_4111	"Echinidae"
ASV_10649	"Echinidae"
ASV_12967	"Echinidae"
ASV_22951	"Echinidae"
ASV_24249	"Echinidae"
