ASV_4112	"uncultured marine bacterium 582"
ASV_19869	"Arenibacter algicola"
ASV_18953	"unclassified Flavobacterium"
ASV_1458	"unclassified Flavobacterium"
ASV_11433	"Formosa sp. Hel3_A1_48"
ASV_1082	"Formosa sp. Hel3_A1_48"
ASV_2572	"Formosa sp. Hel3_A1_48"
ASV_3792	"Formosa sp. Hel3_A1_48"
ASV_4164	"Formosa sp. Hel3_A1_48"
ASV_2255	"Olleya aquimaris"
ASV_1000	"Olleya aquimaris"
ASV_11186	"Olleya aquimaris"
ASV_11690	"Olleya aquimaris"
ASV_20200	"Olleya aquimaris"
ASV_2799	"unclassified Polaribacter"
ASV_4959	"unclassified Polaribacter"
ASV_6215	"unclassified Polaribacter"
ASV_4732	"unclassified Polaribacter"
ASV_5698	"unclassified Polaribacter"
ASV_5151	"Polaribacter sp. KT 15"
ASV_5221	"Polaribacter sp. KT 15"
ASV_5699	"Polaribacter sp. KT 15"
ASV_13021	"Polaribacter sp. KT 15"
ASV_1336	"Polaribacter sp. KT 15"
ASV_3646	"Polaribacter sp. KT 15"
ASV_5150	"Polaribacter sp. KT 15"
ASV_5938	"Polaribacter sp. KT 15"
ASV_6310	"Polaribacter sp. KT 15"
ASV_11477	"Polaribacter sp. KT25b"
ASV_4843	"Winogradskyella sp. PAMC22761"
ASV_17750	"Winogradskyella sp. PAMC22761"
ASV_19721	"Winogradskyella helgolandensis"
ASV_15675	"alpha proteobacterium HIMB59"
ASV_4640	"alpha proteobacterium HIMB59"
ASV_2242	"Candidatus Megaira endosymbiont of Mesostigma viride"
ASV_5960	"Candidatus Megaira endosymbiont of Mesostigma viride"
ASV_5945	"Rickettsia endosymbiont of Calyptostomatidae sp."
ASV_1675	"Eukaryota"
ASV_11845	"Eukaryota"
ASV_489	"Paramoeba pemaquidensis"
ASV_2534	"Vexillifera sp. AKu-2020a"
ASV_11022	"Vexillifera sp. AKu-2020a"
ASV_6992	"Vexillifera abyssalis"
ASV_10353	"Ovalopodium rosalinum"
ASV_202	"Parvamoeba rugata"
ASV_1214	"Squamamoeba japonica"
ASV_12409	"Hemiselmis andersenii"
ASV_1398	"Hemiselmis andersenii"
ASV_12218	"Hemiselmis andersenii"
ASV_567	"Leucocryptos marina"
ASV_2561	"Leucocryptos marina"
ASV_6756	"Rhodomonas salina"
ASV_1936	"Naegleria fultoni"
ASV_721	"zooplankton environmental sample"
ASV_1741	"zooplankton environmental sample"
ASV_204	"zooplankton environmental sample"
ASV_632	"zooplankton environmental sample"
ASV_3257	"Picobiliphyte sp. MS584-11"
ASV_3551	"Picobiliphyte sp. MS584-11"
ASV_804	"Picobiliphyte sp. MS584-11"
ASV_12234	"Picobiliphyte sp. MS584-11"
ASV_257	"Emiliania huxleyi"
ASV_8843	"Emiliania huxleyi"
ASV_1376	"Emiliania huxleyi"
ASV_14218	"Emiliania huxleyi"
ASV_941	"Phaeocystis globosa"
ASV_15151	"Phaeocystis pouchetii"
ASV_10952	"Ministeria vibrans"
ASV_7050	"Cladosporium bruhnei"
ASV_10844	"Cladosporium bruhnei"
ASV_12781	"Zymoseptoria tritici"
ASV_7980	"Penicillium sclerotiorum"
ASV_7706	"Emericellopsis sp. 1a5"
ASV_6831	"Fusarium"
ASV_19490	"Fusarium tricinctum species complex"
ASV_6739	"Rhodotorula mucilaginosa"
ASV_268	"Meira sp."
ASV_18218	"uncultured fungus"
ASV_3228	"invertebrate environmental sample"
ASV_284	"Percomorphaceae"
ASV_8974	"Percomorphaceae"
ASV_16980	"Percomorphaceae"
ASV_3405	"Dicentrarchus labrax"
ASV_14276	"Dicentrarchus labrax"
ASV_6771	"Labrus bergylta"
ASV_8287	"Labrus bergylta"
ASV_5071	"Symphodus"
ASV_10339	"Liparis montagui"
ASV_10601	"Ammodytidae"
ASV_16614	"Ammodytes marinus"
ASV_17391	"Ammodytes tobianus"
ASV_18819	"Hyperoplus immaculatus"
ASV_8126	"Hyperoplus immaculatus"
ASV_15520	"Hyperoplus lanceolatus"
ASV_6071	"Gobiidae"
ASV_1567	"Gobiusculus flavescens"
ASV_8468	"Pomatoschistus minutus"
ASV_2441	"Atherina"
ASV_11935	"Atherina"
ASV_12122	"Atherina"
ASV_447	"Blenniidae"
ASV_491	"Blenniidae"
ASV_380	"Blenniidae"
