ASV_820	"Paramoeba pemaquidensis"
ASV_18576	"Vexillifera kereti"
ASV_22679	"Vexillifera kereti"
ASV_280	"Parvamoeba rugata"
ASV_10580	"Parvamoeba rugata"
ASV_20723	"Parvamoeba rugata"
ASV_1834	"Squamamoeba japonica"
ASV_13354	"Goniomonas avonlea"
ASV_19418	"Chroomonas placoidea"
ASV_24	"Emiliania huxleyi"
ASV_341	"Emiliania huxleyi"
ASV_2453	"Emiliania huxleyi"
ASV_292	"Phaeocystis globosa"
ASV_1684	"Phaeocystis globosa"
ASV_17788	"Opisthokonta"
ASV_9578	"Ministeria vibrans"
ASV_25157	"Cladosporium bruhnei"
ASV_9662	"Metazoa"
ASV_11472	"Metazoa"
ASV_23722	"Metazoa"
ASV_19794	"Dipturus"
ASV_22046	"Raja brachyura"
ASV_7875	"Limanda limanda"
ASV_11428	"Limanda limanda"
ASV_17988	"Microstomus kitt"
ASV_23569	"Microstomus kitt"
ASV_4664	"Centrolabrus exoletus"
ASV_15404	"Ctenolabrus rupestris"
ASV_21680	"Ctenolabrus rupestris"
ASV_3187	"Labrus bergylta"
ASV_4230	"Symphodus"
ASV_12745	"Myoxocephalus"
ASV_20215	"Taurulus bubalis"
ASV_7758	"Cyclopterus lumpus"
ASV_8375	"Liparis montagui"
ASV_4502	"Gasterosteus"
ASV_17147	"Gasterosteus"
ASV_18620	"Gasterosteus aculeatus"
ASV_10590	"Spinachia spinachia"
ASV_19141	"Spinachia spinachia"
ASV_5898	"Zoarces viviparus"
ASV_12646	"Chelidonichthys cuculus"
ASV_2634	"Eutrigla gurnardus"
ASV_2750	"Eutrigla gurnardus"
ASV_6482	"Eutrigla gurnardus"
ASV_9609	"Ammodytidae"
ASV_1319	"Ammodytes marinus"
ASV_1914	"Ammodytes marinus"
ASV_8533	"Ammodytes marinus"
ASV_9475	"Ammodytes marinus"
ASV_2538	"Ammodytes tobianus"
ASV_11604	"Ammodytes tobianus"
ASV_461	"Gymnammodytes semisquamatus"
