ASV_1636	"Paramoeba pemaquidensis"
ASV_7976	"Pseudoparamoeba pagei"
ASV_4944	"Vexillifera kereti"
ASV_361	"Parvamoeba rugata"
ASV_996	"Squamamoeba japonica"
ASV_11790	"Goniomonas avonlea"
ASV_1309	"Leucocryptos marina"
ASV_12729	"Leucocryptos marina"
ASV_210	"Emiliania huxleyi"
ASV_1550	"Emiliania huxleyi"
ASV_5240	"Emiliania huxleyi"
ASV_5997	"Emiliania huxleyi"
ASV_619	"Phaeocystis globosa"
ASV_4367	"Ministeria vibrans"
ASV_5422	"Cladosporium bruhnei"
ASV_7601	"Cladosporium bruhnei"
ASV_5283	"Zymoseptoria tritici"
ASV_13861	"Articulospora tetracladia"
ASV_4059	"Tetracladium marchalianum"
ASV_13927	"Colletotrichum salicis"
ASV_12166	"Trichoderma"
ASV_8030	"Acremonium fuci"
ASV_8548	"Acremonium fuci"
ASV_13433	"Tolypocladium cylindrosporum"
ASV_3036	"Limanda limanda"
ASV_9647	"Dicentrarchus labrax"
ASV_7983	"Ctenolabrus rupestris"
ASV_9417	"Ctenolabrus rupestris"
ASV_6955	"Symphodus"
ASV_5524	"Ammodytes marinus"
ASV_12287	"Ammodytes marinus"
ASV_369	"Lipophrys pholis"
ASV_378	"Lipophrys pholis"
ASV_654	"Lipophrys pholis"
ASV_819	"Lipophrys pholis"
ASV_945	"Lipophrys pholis"
ASV_2151	"Lipophrys pholis"
ASV_2646	"Lipophrys pholis"
ASV_5942	"Lipophrys pholis"
ASV_4768	"Scomber scombrus"
ASV_11938	"Pollachius virens"
ASV_10276	"Trisopterus luscus"
ASV_9418	"Gaidropsarus vulgaris"
ASV_5666	"Ciliata mustela"
ASV_7608	"Ciliata mustela"
ASV_6014	"Salmo"
ASV_11732	"Clupea harengus"
ASV_1641	"Sprattus sprattus"
ASV_7447	"Sprattus sprattus"
ASV_9124	"Sprattus sprattus"
ASV_11840	"Sprattus sprattus"
ASV_6285	"Alca torda"
ASV_9179	"Uria aalge"
ASV_10331	"Larus canus"
ASV_12909	"Rissa tridactyla"
ASV_3736	"Columba oenas"
ASV_574	"Plestiodon laticeps"
ASV_1089	"Plestiodon laticeps"
ASV_2966	"Plestiodon laticeps"
ASV_4289	"Plestiodon laticeps"
ASV_8607	"Bufo bufo"
ASV_981	"Botrylloides leachii"
ASV_1613	"Botrylloides leachii"
ASV_1616	"Botrylloides leachii"
ASV_2182	"Dendrodoa grossularia"
ASV_8981	"Asterias rubens"
ASV_2419	"Henricia sanguinolenta"
ASV_7404	"Henricia sanguinolenta"
ASV_555	"Amphipholis squamata"
ASV_888	"Amphipholis squamata"
ASV_1618	"Amphipholis squamata"
ASV_5482	"Amphiura filiformis"
ASV_5024	"Echinocardium cordatum"
ASV_6643	"Echinocardium cordatum"
ASV_10842	"Echinidae"
ASV_5725	"Echinocyamus pusillus"
ASV_2739	"Protostomia"
ASV_11968	"Forelia variegator"
ASV_4357	"Evadne nordmanni"
ASV_9779	"Evadne nordmanni"
ASV_14027	"Podon intermedius"
ASV_779	"Acartia clausii"
ASV_2226	"Acartia clausii"
ASV_2795	"Acartia clausii"
ASV_4637	"Acartia clausii"
ASV_4860	"Centropages hamatus"
ASV_14123	"Pseudocalanus elongatus"
ASV_8168	"Temora longicornis"
ASV_4512	"Enhydrosoma propinquum"
ASV_4509	"Tigriopus brevicornis"
ASV_7141	"Amphiascopsis cinctus"
ASV_10908	"Amphiascopsis cinctus"
ASV_1577	"Rhizothrix minuta"
ASV_7612	"Pisidia longicornis"
ASV_1739	"Porcellana platycheles"
ASV_12086	"Pagurus bernhardus"
ASV_12664	"Pagurus bernhardus"
ASV_6755	"Homarus gammarus"
ASV_1180	"Cancer pagurus"
ASV_9143	"Cancer pagurus"
ASV_3652	"Pilumnus hirtellus"
ASV_3255	"Portunoidea"
ASV_109	"Carcinus maenas"
ASV_706	"Carcinus maenas"
ASV_1184	"Carcinus maenas"
ASV_1205	"Carcinus maenas"
ASV_2728	"Carcinus maenas"
ASV_2850	"Carcinus maenas"
ASV_3028	"Carcinus maenas"
ASV_3361	"Carcinus maenas"
ASV_3673	"Carcinus maenas"
ASV_5746	"Carcinus maenas"
ASV_6981	"Carcinus maenas"
ASV_7142	"Carcinus maenas"
ASV_7386	"Liocarcinus depurator"
ASV_1492	"Necora puber"
ASV_2144	"Necora puber"
ASV_8129	"Hippolyte varians"
ASV_6727	"Dexamine spinosa"
ASV_2042	"Dexamine thea"
ASV_8348	"Senticaudata"
ASV_5011	"Ischyrocerus"
ASV_2797	"Jassa falcata"
ASV_8161	"Jassa falcata"
ASV_9061	"Jassa falcata"
ASV_8833	"Gammarellus angulosus"
ASV_11651	"Gammarellus angulosus"
ASV_3202	"Gammarus obtusatus"
ASV_10989	"Gammarus pulex"
ASV_10373	"Apherusa jurinei"
ASV_10396	"Apherusa jurinei"
ASV_3400	"Asellus aquaticus"
ASV_3743	"Asellus aquaticus"
ASV_11159	"Asellus aquaticus"
ASV_3755	"Jaera albifrons"
ASV_4767	"Jaera albifrons"
ASV_1766	"Idotea chelipes"
ASV_1882	"Balanidae"
ASV_5697	"Balanidae"
ASV_10466	"Balanidae"
ASV_13089	"Balanidae"
ASV_5272	"Balanus"
ASV_13263	"Balanus balanus"
ASV_13537	"Balanus balanus"
ASV_81	"Semibalanus balanoides"
ASV_655	"Semibalanus balanoides"
ASV_988	"Semibalanus balanoides"
ASV_1854	"Semibalanus balanoides"
ASV_1895	"Semibalanus balanoides"
ASV_3735	"Semibalanus balanoides"
ASV_4661	"Semibalanus balanoides"
ASV_6263	"Semibalanus balanoides"
ASV_6759	"Semibalanus balanoides"
ASV_6657	"Austrominius modestus"
ASV_3424	"Verruca stroemia"
ASV_6292	"Verruca stroemia"
ASV_7909	"Verruca stroemia"
ASV_8050	"Verruca stroemia"
ASV_10045	"Verruca stroemia"
ASV_5365	"Cypridopsis vidua"
ASV_11997	"Isotoma anglicana"
ASV_8759	"Anurida maritima"
ASV_6878	"Obtectomera"
ASV_12201	"Apion frumentarium"
ASV_8279	"Canace nasica"
ASV_42	"Teleopsis dalmanni"
ASV_868	"Teleopsis dalmanni"
ASV_4850	"Orygma luctuosum"
ASV_6361	"Orygma luctuosum"
ASV_11037	"Hyperlasion wasmanni"
ASV_3706	"Chironomus riparius"
ASV_6331	"Chironomus riparius"
ASV_7169	"Paratendipes albimanus"
ASV_12067	"Micropsectra"
ASV_12002	"Tanytarsus brundini"
ASV_13026	"Tanytarsus eminulus"
ASV_13000	"Corynoneura"
ASV_9847	"Cricotopus bicinctus"
ASV_4864	"Halocladius variabilis"
ASV_6082	"Halocladius variabilis"
ASV_11104	"Halocladius variabilis"
ASV_11266	"Halocladius variabilis"
ASV_11699	"Halocladius variabilis"
ASV_12829	"Halocladius variabilis"
ASV_11970	"Molophilus"
ASV_12811	"Lasius niger"
ASV_8559	"Marchalina hellenica"
ASV_9344	"Leuctra"
ASV_11009	"Baetis rhodani"
ASV_483	"Fujientomon dicestum"
ASV_8724	"Polyarthra vulgaris"
ASV_6739	"Poecilobdella manillensis"
ASV_3514	"Lumbricillus lineatus"
ASV_7545	"Lumbricillus lineatus"
ASV_2572	"Lumbricillus semifuscus"
ASV_4684	"Nais bretscheri"
ASV_8907	"Paranais litoralis"
ASV_1605	"Clitellio arenarius"
ASV_2528	"Clitellio arenarius"
ASV_9149	"Clitellio arenarius"
ASV_11803	"Limnodrilus hoffmeisteri"
ASV_977	"Tubificoides benedii"
ASV_1547	"Tubificoides benedii"
ASV_1949	"Tubificoides benedii"
ASV_5779	"Tubificoides benedii"
ASV_7490	"Tubificoides benedii"
ASV_12028	"Tubificoides pseudogaster"
ASV_3789	"Microphthalmus similis"
ASV_1109	"Psamathe fusca"
ASV_1454	"Psamathe fusca"
ASV_5256	"Psamathe fusca"
ASV_8600	"Nephtys cirrosa"
ASV_9376	"Nephtys hombergii"
ASV_10387	"Nereididae"
ASV_705	"Nereis"
ASV_3787	"Nereis falsa"
ASV_1051	"Pholoe inornata"
ASV_1742	"Pholoe inornata"
ASV_1812	"Pholoe inornata"
ASV_2005	"Pholoe inornata"
ASV_2026	"Pholoe inornata"
ASV_2556	"Pholoe inornata"
ASV_4299	"Pholoe inornata"
ASV_6778	"Pholoe inornata"
ASV_7520	"Pholoe inornata"
ASV_8696	"Pholoe inornata"
ASV_13610	"Pholoe inornata"
ASV_2474	"Eulalia <segmented worms>"
ASV_5177	"Eulalia <segmented worms>"
ASV_12238	"Eulalia <segmented worms>"
ASV_13342	"Eulalia ornata"
ASV_4495	"Eumida maia"
ASV_9877	"Harmothoe impar"
ASV_10092	"Harmothoe impar"
ASV_10895	"Harmothoe impar"
ASV_11163	"Harmothoe impar"
ASV_13684	"Harmothoe impar"
ASV_3643	"Lepidonotus squamatus"
ASV_7433	"Eusyllis blomstrandi"
ASV_7574	"Eusyllis blomstrandi"
ASV_267	"Myrianida edwarsi"
ASV_6273	"Dinophilus vorticoides"
ASV_255	"Nerilla antennata"
ASV_2543	"Rubifabriciola tonerella"
ASV_11203	"Rubifabriciola tonerella"
ASV_11979	"Rubifabriciola tonerella"
ASV_421	"Sabellaria spinulosa"
ASV_633	"Sabellaria spinulosa"
ASV_719	"Sabellaria spinulosa"
ASV_1335	"Sabellaria spinulosa"
ASV_1828	"Sabellaria spinulosa"
ASV_2357	"Sabellaria spinulosa"
ASV_3645	"Sabellaria spinulosa"
ASV_4062	"Sabellaria spinulosa"
ASV_4218	"Sabellaria spinulosa"
ASV_4342	"Sabellaria spinulosa"
ASV_4632	"Sabellaria spinulosa"
ASV_4653	"Sabellaria spinulosa"
ASV_4680	"Sabellaria spinulosa"
ASV_4698	"Sabellaria spinulosa"
ASV_4841	"Sabellaria spinulosa"
ASV_8838	"Sabellaria spinulosa"
ASV_12272	"Sabellaria spinulosa"
ASV_12869	"Sabellaria spinulosa"
ASV_2258	"Pomatoceros triqueter"
ASV_2371	"Aonides oxycephala"
ASV_31	"Boccardia proboscidea"
ASV_37	"Boccardia proboscidea"
ASV_119	"Malacoceros fuliginosus"
ASV_220	"Malacoceros fuliginosus"
ASV_457	"Malacoceros fuliginosus"
ASV_465	"Malacoceros fuliginosus"
ASV_547	"Malacoceros fuliginosus"
ASV_890	"Malacoceros fuliginosus"
ASV_1022	"Malacoceros fuliginosus"
ASV_1053	"Malacoceros fuliginosus"
ASV_1615	"Malacoceros fuliginosus"
ASV_2127	"Malacoceros fuliginosus"
ASV_2197	"Malacoceros fuliginosus"
ASV_2215	"Malacoceros fuliginosus"
ASV_2342	"Malacoceros fuliginosus"
ASV_3718	"Malacoceros fuliginosus"
ASV_4625	"Malacoceros fuliginosus"
ASV_5391	"Malacoceros fuliginosus"
ASV_5795	"Malacoceros fuliginosus"
ASV_10716	"Malacoceros fuliginosus"
ASV_39	"Polydora onagawaensis"
ASV_423	"Polydora onagawaensis"
ASV_678	"Polydora onagawaensis"
ASV_1817	"Polydora onagawaensis"
ASV_2011	"Polydora onagawaensis"
ASV_2938	"Polydora onagawaensis"
ASV_8843	"Cirratulus cirratus"
ASV_57	"Cirriformia tentaculata"
ASV_135	"Cirriformia tentaculata"
ASV_416	"Cirriformia tentaculata"
ASV_5748	"Cirriformia tentaculata"
ASV_8804	"Cirriformia tentaculata"
ASV_8193	"Dodecaceria ater"
ASV_587	"Dodecaceria concharum"
ASV_2564	"Lanice conchilega"
ASV_4179	"Lanice conchilega"
ASV_8650	"Lanice conchilega"
ASV_5022	"Arenicola marina"
ASV_13394	"Orbinia latreillii"
ASV_1388	"Crisularia plumosa"
ASV_4305	"Scrupocellaria scruposa"
ASV_12954	"Scrupocellaria scruposa"
ASV_5014	"Flustra foliacea"
ASV_12808	"Flustra foliacea"
ASV_5165	"Celleporella hyalina"
ASV_105	"Electra pilosa"
ASV_954	"Electra pilosa"
ASV_331	"Membranipora membranacea"
ASV_992	"Membranipora membranacea"
ASV_1080	"Membranipora membranacea"
ASV_1690	"Membranipora membranacea"
ASV_1890	"Membranipora membranacea"
ASV_3583	"Membranipora membranacea"
ASV_4032	"Membranipora membranacea"
ASV_9001	"Membranipora membranacea"
ASV_10746	"Membranipora membranacea"
ASV_12563	"Membranipora membranacea"
ASV_708	"Flustrellidra hispida"
ASV_1474	"Flustrellidra hispida"
ASV_1938	"Flustrellidra hispida"
ASV_2363	"Flustrellidra hispida"
ASV_6234	"Flustrellidra hispida"
