ASV_14052	"Eukaryota"
ASV_6128	"Paramoeba pemaquidensis"
ASV_6052	"Pseudoparamoeba pagei"
ASV_11087	"Pseudoparamoeba pagei"
ASV_14847	"Pseudoparamoeba pagei"
ASV_16028	"Vexillifera abyssalis"
ASV_9382	"Vexillifera kereti"
ASV_1139	"Parvamoeba rugata"
ASV_1320	"Squamamoeba japonica"
ASV_14290	"Squamamoeba japonica"
ASV_1817	"Hemiselmis andersenii"
ASV_6427	"Hemiarma marina"
ASV_662	"Leucocryptos marina"
ASV_17262	"Leucocryptos marina"
ASV_4971	"Rhodomonas salina"
ASV_437	"Emiliania huxleyi"
ASV_12684	"Emiliania huxleyi"
ASV_983	"Phaeocystis globosa"
ASV_17722	"Phaeocystis pouchetii"
ASV_49	"Opisthokonta"
ASV_419	"Opisthokonta"
ASV_707	"Opisthokonta"
ASV_865	"Opisthokonta"
ASV_7897	"Ministeria vibrans"
ASV_209	"Cladosporium bruhnei"
ASV_868	"Cladosporium bruhnei"
ASV_10710	"Cladosporium bruhnei"
ASV_8206	"Cladosporium cladosporioides"
ASV_11736	"Penicillium sclerotiorum"
ASV_16532	"Acremonium fuci"
ASV_17358	"Acremonium fuci"
ASV_14752	"Tolypocladium cylindrosporum"
ASV_11809	"Melampsora"
ASV_5998	"Bilateria"
ASV_5612	"Percomorphaceae"
ASV_554	"Dicentrarchus labrax"
ASV_6088	"Dicentrarchus labrax"
ASV_8660	"Dicentrarchus labrax"
ASV_1639	"Labrus bergylta"
ASV_10497	"Labrus bergylta"
ASV_1539	"Symphodus"
ASV_7331	"Hyperoplus immaculatus"
ASV_10446	"Hyperoplus immaculatus"
ASV_3962	"Gobius paganellus"
ASV_14196	"Gobius paganellus"
ASV_5072	"Pomatoschistus pictus"
ASV_12165	"Pomatoschistus pictus"
ASV_2277	"Atherina presbyter"
ASV_3171	"Atherina presbyter"
ASV_4032	"Atherina presbyter"
ASV_570	"Coryphoblennius galerita"
ASV_2962	"Coryphoblennius galerita"
ASV_73	"Lipophrys pholis"
ASV_74	"Lipophrys pholis"
ASV_340	"Lipophrys pholis"
ASV_773	"Lipophrys pholis"
ASV_1300	"Lipophrys pholis"
ASV_1342	"Lipophrys pholis"
ASV_3690	"Lipophrys pholis"
ASV_3721	"Lipophrys pholis"
ASV_3757	"Lipophrys pholis"
ASV_7425	"Lipophrys pholis"
ASV_7538	"Lipophrys pholis"
ASV_12506	"Lipophrys pholis"
ASV_3887	"Parablennius gattorugine"
ASV_8350	"Apletodon dentatus"
ASV_9093	"Lepadogaster purpurea"
ASV_954	"Mugilidae"
ASV_1511	"Mugilidae"
ASV_14807	"Mugilidae"
ASV_13444	"Entelurus aequoreus"
ASV_9062	"Gaidropsarus"
