sample_ID,sample_18S,sample_CO1
PHD1-SCHNC-PCR_1703,NA,Adapter450.SCHNCPCR
PHD1-SCHPC_1703,NA,Adapter451.SCHPC
PHD1-SCHNC2803,NA,Adapter453.SCHNC2803
PHD1-SCHPC2803,NA,Adapter452.SCHPC2803
PHD1-NCbead,NA,Adapter3608.NCbead
PHD1-SWNC_PCR_2203,NA,Adapter3607.SWNCPCR
PHD1-SWPC_2203,NA,Adapter3606.SWPC
PHD1-SCHPC2303,NA,Adapter454.SCHPC2303
PHD1-SCHNC2303,NA,Adapter455.SCHNC2303
PHD1-SW05-02rep,NA,Adapter3609.SW05.02rep
PHD1-SW05-03rep,NA,Adapter3610.SW05.03rep
PHD1-SW01-01,S1,Adapter3553.SW01.01
PHD1-SW01-C,S10,Adapter3562.SW01.C
PHD1-SCH04-07,S100,Adapter419.SCH04.07
PHD1-SCH04-08,S101,Adapter420.SCH04.08
PHD1-SCH04-09,S102,Adapter421.SCH04.09
PHD1-SCH04-C,S103,Adapter422.SCH04.C
PHD1-SCHNC-2ex,S104,Adapter423.SCHNC2ex
PHD1-SCH05-01,S105,Adapter424.SCH05.01
PHD1-SCH05-02,S106,Adapter425.SCH05.02
PHD1-SCH05-03,S107,Adapter426.SCH05.03
PHD1-SCH05-C,S108,Adapter427.SCH05.C
PHD1-SCH06-01,S109,Adapter428.SCH06.01
PHD1-SW02-01,S11,Adapter3563.SW02.01
PHD1-SCH06-02,S110,Adapter429.SCH06.02
PHD1-SCH06-03,S111,Adapter430.SCH06.03
PHD1-SCH06-04,S112,Adapter431.SCH06.04
PHD1-SCH06-05,S113,Adapter432.SCH06.05
PHD1-SCH06-06,S114,Adapter433.SCH06.06
PHD1-SCH06-C,S115,Adapter434.SCH06.C
PHD1-SCH07-01,S116,Adapter435.SCH07.01
PHD1-SCH07-02,S117,Adapter436.SCH07.02
PHD1-SCH07-03,S118,Adapter437.SCH07.03
PHD1-SCH07-C,S119,Adapter438.SCH07.C
PHD1-SW02-02,S12,Adapter3564.SW02.02
PHD1-SCH08-01,S120,Adapter439.SCH08.01
PHD1-SCH08-02,S121,Adapter440.SCH08.02
PHD1-SCH08-03,S122,Adapter441.SCH08.03
PHD1-SCH08-04,S123,Adapter442.SCH08.04
PHD1-SCH08-05,S124,Adapter443.SCH08.05
PHD1-SCH08-06,S125,Adapter444.SCH08.06
PHD1-SCH08-07,S126,Adapter445.SCH08.07
PHD1-SCH08-08,S127,Adapter446.SCH08.08
PHD1-SCH08-09,S128,Adapter447.SCH08.09
PHD1-SCH08-C,S129,Adapter448.SCH08.C
PHD1-SW02-03,S13,Adapter3565.SW02.03
PHD1-SCHNC-3ex,S130,Adapter449.SCHNC3ex
PHD1-SCHNC-PCR_2703,S131,NA
PHD1-SCHPC_2703,S132,NA
PHD1-SW02-C,S14,Adapter3566.SW02.C
PHD1-SW03-01,S15,Adapter3567.SW03.01
PHD1-SW03-02,S16,Adapter3568.SW03.02
PHD1-SW03-03,S17,Adapter3569.SW03.03
PHD1-SW03-04,S18,Adapter3570.SW03.04
PHD1-SW03-05,S19,Adapter3571.SW03.05
PHD1-SW01-02,S2,Adapter3554.SW01.02
PHD1-SW03-06,S20,Adapter3572.SW03.06
PHD1-SW03-07,S21,Adapter3573.SW03.07
PHD1-SW03-08,S22,Adapter3574.SW03.08
PHD1-SW03-09,S23,Adapter3575.SW03.09
PHD1-SW03-C,S24,Adapter3576.SW03.C
PHD1-SW04-01,S25,FAILED
PHD1-SW04-02,S26,Adapter3578.SW04.02
PHD1-SW04-03,S27,Adapter3579.SW04.03
PHD1-SW04-C,S28,Adapter3580.SW04.C
PHD1-SW05-01,S29,Adapter3581.SW05.01
PHD1-SW01-03,S3,Adapter3555.SW01.03
PHD1-SW05-02,S30,Adapter3582.SW05.02
PHD1-SW05-03,S31,Adapter3583.SW05.03
PHD1-SW05-04,S32,Adapter3584.SW05.04
PHD1-SW05-05,S33,Adapter3585.SW05.05
PHD1-SW05-06,S34,Adapter3586.SW05.06
PHD1-SW05-07,S35,Adapter3587.SW05.07
PHD1-SW05-08,S36,Adapter3588.SW05.08
