sample_ID,sample_18S,sample_CO1
PHD2-CN01-01,S133,X115.CN01.01
PHD2-CN01-02,S134,X116.CN01.02
PHD2-CN01-02rep,NA,X192.CN01.02rep
PHD2-CN01-03,S135,X117.CN01.03
PHD2-CN01-04,S136,X118.CN01.04
PHD2-CN01-05,S137,X119.CN01.05
PHD2-CN01-06,S138,X120.CN01.06
PHD2-CN01-07,S139,X121.CN01.07
PHD2-CN01-08,S140,X122.CN01.08
PHD2-CN01-09,S141,X123.CN01.09
PHD2-CN01-C,S142,X124.CN01.C
PHD2-CN02-01,S144,X126.CN02.01
PHD2-CN02-02,S145,X127.CN02.02
PHD2-CN02-03,S146,X128.CN02.03
PHD2-CN02-04,S147,X129.CN02.04
PHD2-CN02-05,S148,X130.CN02.05
PHD2-CN02-06,S149,X131.CN02.06
PHD2-CN02-07,S150,X132.CN02.07
PHD2-CN02-08,S151,X133.CN02.08
PHD2-CN02-09,S152,X134.CN02.09
PHD2-CN02-09rep,S188,X170.CN02.09rep
PHD2-CN02-C,S153,X135.CN02.C
PHD2-CN03-01,S154,X136.CN03.01
PHD2-CN03-02,S155,X137.CN03.02
PHD2-CN03-03,S156,X138.CN03.03
PHD2-CN03-04,S157,X139.CN03.04
PHD2-CN03-05,S158,X140.CN03.05
PHD2-CN03-06,S159,X141.CN03.06
PHD2-CN03-07,S160,X142.CN03.07
PHD2-CN03-08,S161,X143.CN03.08
PHD2-CN03-09,S162,X144.CN03.09
PHD2-CN03-C,S163,X145.CN03.C
PHD2-CN04-01,S164,X146.CN04.01
PHD2-CN04-02,S165,X147.CN04.02
PHD2-CN04-03,S166,X148.CN04.03
PHD2-CN04-04,S167,X149.CN04.04
PHD2-CN04-05,S168,X150.CN04.05
PHD2-CN04-05rep,S189,X171.CN04.05rep
PHD2-CN04-06,S169,X151.CN04.06
PHD2-CN04-07,S170,X152.CN04.07
PHD2-CN04-08,S171,X153.CN04.08
PHD2-CN04-09,S172,X154.CN04.09
PHD2-CN04-C,S173,X155.CN04.C
PHD2-CN05-01,S174,X156.CN05.01
PHD2-CN05-02,S175,X157.CN05.02
PHD2-CN05-03,S176,X158.CN05.03
PHD2-CN05-04,S177,X159.CN05.04
PHD2-CN05-05,S178,X160.CN05.05
PHD2-CN05-06,S179,X161.CN05.06
PHD2-CN05-07,S180,X162.CN05.07
PHD2-CN05-08,S181,X163.CN05.08
PHD2-CN05-08rep,S190,X172.CN05.08rep
PHD2-CN05-09,S182,X164.CN05.09
PHD2-CN05-C,S183,X165.CN05.C
PHD2-NE01-01,S73,X58.NE01.01
PHD2-NE01-02,S74,X59.NE01.02
PHD2-NE01-03,S75,X60.NE01.03
PHD2-NE01-04,S76,X61.NE01.04
PHD2-NE01-05,S77,X62.NE01.05
PHD2-NE01-06,S78,X63.NE01.06
PHD2-NE01-07,S79,X64.NE01.07
PHD2-NE01-08,S80,X65.NE01.08
PHD2-NE01-09,S81,FAILED
PHD2-NE01-C,S82,X67.NE01.C
PHD2-NE02-01,S83,X68.NE02.01
