"kingdom","phylum","class","order","family","genus","valid_name","scientificname","adult","adult_simple","adult_tidy","valid_AphiaID","rank"
"Chromista","Heterokontophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes","Achnanthes","phytoplankton","Other","Plankton"," 149191","Genus"
"Chromista","Ciliophora","Litostomatea","Pleurostomatida","Litonotidae","Acineria","Acineria incurvata","Acineria incurvata","benthos","Macrobenthos","Macrobenthos"," 426633","Species"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Akashiwo","Akashiwo","Akashiwo","phytoplankton","Other","Plankton"," 231787","Genus"
"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Pyrocystaceae","Alexandrium","Alexandrium","Alexandrium","phytoplankton","Other","Plankton"," 109470","Genus"
"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Pyrocystaceae","Alexandrium","Alexandrium andersonii","Alexandrium andersonii","mixoplankton","Other","Plankton"," 246835","Species"
"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Pyrocystaceae","Alexandrium","Alexandrium margalefii","Alexandrium margalefii","phytoplankton","Other","Plankton"," 233447","Species"
"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Pyrocystaceae","Alexandrium","Alexandrium ostenfeldii","Alexandrium ostenfeldii","microplankton","Other","Plankton"," 109712","Species"
"Chromista","Cercozoa",NA,NA,NA,"Allas","Allas","Allas","zooplankton","Other","Plankton"," 603763","Genus"
"Protozoa","Sulcozoa","Apusomonadea","Apusomonadida","Apusomonadidae","Amastigomonas","Amastigomonas","Amastigomonas",NA,NA,NA," 103425","Genus"
"Chromista","Myzozoa","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","Amoebophrya","Amoebophrya","zooplankton","Other","Plankton"," 109448","Genus"
"Chromista","Myzozoa","Dinophyceae","Peridiniales","Oxytoxaceae","Amphidiniopsis","Amphidiniopsis","Amphidiniopsis","nanoplankton","Other","Plankton"," 109556","Genus"
"Chromista","Myzozoa","Dinophyceae","Peridiniales","Oxytoxaceae","Amphidiniopsis","Amphidiniopsis rotundata","Amphidiniopsis rotundata","microbenthos","Other","Microbenthos"," 626385","Species"
"Chromista","Myzozoa","Dinophyceae","Amphidiniales","Amphidiniaceae","Amphidinium","Amphidinium","Amphidinium","phytoplankton","Other","Plankton"," 109473","Genus"
"Chromista","Myzozoa","Dinophyceae","Amphidiniales","Amphidiniaceae","Amphidinium","Amphidinium asymmetricum","Amphidinium asymmetricum","phytoplankton","Other","Plankton"," 109720","Species"
"Chromista","Ciliophora","Litostomatea","Pleurostomatida","Amphileptidae","Amphileptus","Amphileptus","Amphileptus","benthos","Macrobenthos","Macrobenthos"," 390708","Genus"
