"kingdom","phylum","class","order","family","genus","valid_name","scientificname","adult","adult_simple","adult_tidy","valid_AphiaID","rank"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales incertae sedis","Acremonium","Acremonium fuci","Acremonium fuci",NA,NA,NA," 437997","Species"
"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alca","Alca torda","Alca torda",NA,NA,NA," 137128","Species"
"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Pyrocystaceae","Alexandrium","Alexandrium minutum","Alexandrium minutum","microplankton","Other","Plankton"," 109711","Species"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes marinus","Ammodytes marinus","fish","fish","Fish"," 126751","Species"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes tobianus","Ammodytes tobianus","fish","fish","Fish"," 126752","Species"
"Chromista","Myzozoa","Dinophyceae","Dinophyceae incertae sedis","Amphidomataceae","Amphidoma","Amphidoma languida","Amphidoma languida","phytoplankton","Other","Plankton"," 729889","Species"
"Animalia","Nemertea","Hoplonemertea","Monostilifera","Amphiporidae","Amphiporus","Amphiporus lactifloreus","Amphiporus lactifloreus","benthos","Macrobenthos","Macrobenthos"," 122666","Species"
"Chromista","Oomycota",NA,"Anisolpidiales","Anisolpidiaceae","Anisolpidium","Anisolpidium ectocarpii","Anisolpidium ectocarpii",NA,NA,NA," 177852","Species"
"Chromista","Oomycota",NA,"Anisolpidiales","Anisolpidiaceae","Anisolpidium","Anisolpidium rosenvingei","Anisolpidium rosenvingei",NA,NA,NA," 172252","Species"
"Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Apletodon","Apletodon dentatus","Apletodon dentatus","fish","fish","Fish"," 126510","Species"
"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres","Arenaria interpres",NA,NA,NA," 147431","Species"
"Animalia","Chordata","Teleostei","Atheriniformes","Atherinidae","Atherina","Atherina presbyter","Atherina presbyter","fish","fish","Fish"," 272030","Species"
"Chromista","Myzozoa","Dinophyceae","Dinophyceae incertae sedis","Amphidomataceae","Azadinium","Azadinium","Azadinium","nanoplankton","Other","Plankton"," 391508","Genus"
"Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","Bufo bufo","Bufo bufo","nekton","Other","Nekton","1350162","Species"
"Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus","Canis lupus","nekton","Other","Nekton","1506689","Species"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Centrolabrus","Centrolabrus exoletus","Centrolabrus exoletus","fish","fish","Fish"," 126961","Species"
"Animalia","Nemertea","Palaeonemertea","Archinemertea","Cephalotrichidae","Cephalothrix","Cephalothrix rufifrons","Cephalothrix rufifrons","benthos","Macrobenthos","Macrobenthos"," 122599","Species"
"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys","Chelidonichthys cuculus","Chelidonichthys cuculus","fish","fish","Fish"," 127259","Species"
"Plantae","Chlorarachniophyta","Chlorarachniophyceae","Chlorarachniales","Chlorarachniaceae","Chlorarachnion","Chlorarachnion reptans","Chlorarachnion reptans",NA,NA,NA," 376147","Species"
"Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus","Chroicocephalus",NA,NA,NA," 465357","Genus"
"Chromista","Cryptophyta","Cryptophyceae","Pyrenomonadales","Hemiselmidaceae","Chroomonas","Chroomonas placoidea","Chroomonas placoidea","phytoplankton","Other","Plankton"," 573829","Species"
