"kingdom","phylum","class","order","family","genus","valid_name","scientificname","adult","adult_simple","adult_tidy","valid_AphiaID","rank"
"Animalia","Platyhelminthes",NA,"Prolecithophora","Plagiostomidae","Acmostomum","Acmostomum dioicum","Acmostomum dioicum","benthos","Macrobenthos","Macrobenthos"," 142892","Species"
"Animalia","Mollusca","Gastropoda","Nudibranchia","Actinocyclidae","Actinocyclus","Actinocyclus","Actinocyclus","benthos","Macrobenthos","Macrobenthos"," 196347","Genus"
"Plantae","Rhodophyta","Florideophyceae","Ahnfeltiales","Ahnfeltiaceae","Ahnfeltia","Ahnfeltia plicata","Ahnfeltia plicata","macroalgae","Macroalgae","Macroalgae"," 144422","Species"
"Animalia","Mollusca","Gastropoda","Littorinimorpha","Erhaiidae","Akiyoshia","Akiyoshia kobayashii","Akiyoshia kobayashii","benthos","Macrobenthos","Macrobenthos","1250413","Species"
"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Alcyonidiidae","Alcyonidioides","Alcyonidioides mytili","Alcyonidioides mytili","macrobenthos","Macrobenthos","Macrobenthos"," 468026","Species"
"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","Amathia","Amathia","Amathia","macrobenthos","Macrobenthos","Macrobenthos"," 111022","Genus"
"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","Amathia","Amathia imbricata","Amathia imbricata","macrobenthos","Macrobenthos","Macrobenthos"," 851593","Species"
"Animalia","Arthropoda","Copepoda","Harpacticoida","Ameiridae","Ameira","Ameira scotti","Ameira scotti","meiobenthos","Macrobenthos","Macrobenthos"," 115525","Species"
"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Amphitritides","Amphitritides gracilis","Amphitritides gracilis","macrobenthos","Macrobenthos","Macrobenthos"," 131480","Species"
"Animalia","Arthropoda","Pycnogonida","Pantopoda","Phoxichilidiidae","Anoplodactylus","Anoplodactylus lentus","Anoplodactylus lentus","macrobenthos","Macrobenthos","Macrobenthos"," 158478","Species"
"Animalia","Arthropoda","Pycnogonida","Pantopoda","Phoxichilidiidae","Anoplodactylus","Anoplodactylus petiolatus","Anoplodactylus petiolatus","meiobenthos","Macrobenthos","Macrobenthos"," 134723","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Wrangeliaceae","Anotrichium","Anotrichium licmophorum","Anotrichium licmophorum","macroalgae","Macroalgae","Macroalgae"," 371454","Species"
