"kingdom","phylum","class","order","family","genus","valid_name","scientificname","adult","adult_simple","adult_tidy","valid_AphiaID","rank"
"Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra nitida","Abra nitida","benthos","Macrobenthos","Macrobenthos"," 141435","Species"
"Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Acanthochitona","Acanthochitona crinita","Acanthochitona crinita","benthos","Macrobenthos","Macrobenthos"," 138675","Species"
"Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Acinetosporaceae","Acinetospora","Acinetospora filamentosa","Acinetospora filamentosa","macroalgae","Macroalgae","Macroalgae","1369205","Species"
"Plantae","Rhodophyta","Florideophyceae","Acrochaetiales","Acrochaetiaceae","Acrochaetium","Acrochaetium humile","Acrochaetium humile","macroalgae","Macroalgae","Macroalgae"," 144356","Species"
"Plantae","Rhodophyta","Florideophyceae","Acrochaetiales","Acrochaetiaceae","Acrochaetium","Acrochaetium luxurians","Acrochaetium luxurians","macroalgae","Macroalgae","Macroalgae"," 547853","Species"
"Plantae","Rhodophyta","Florideophyceae","Acrochaetiales","Acrochaetiaceae","Acrochaetium","Acrochaetium moniliforme","Acrochaetium moniliforme","macroalgae","Macroalgae","Macroalgae"," 144372","Species"
"Plantae","Rhodophyta","Florideophyceae","Acrochaetiales","Acrochaetiaceae","Acrochaetium","Acrochaetium parvulum","Acrochaetium parvulum","macroalgae","Macroalgae","Macroalgae"," 144377","Species"
"Plantae","Rhodophyta","Florideophyceae","Acrochaetiales","Acrochaetiaceae","Acrochaetium","Acrochaetium plumosum","Acrochaetium plumosum","macroalgae","Macroalgae","Macroalgae"," 372088","Species"
"Plantae","Rhodophyta","Florideophyceae","Acrochaetiales","Acrochaetiaceae","Acrochaetium","Acrochaetium secundatum","Acrochaetium secundatum","macroalgae","Macroalgae","Macroalgae"," 144387","Species"
"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Acrocnida","Acrocnida brachiata","Acrocnida brachiata","macrobenthos","Macrobenthos","Macrobenthos"," 236130","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Acrosorium","Acrosorium ciliolatum","Acrosorium ciliolatum","macroalgae","Macroalgae","Macroalgae"," 295874","Species"
"Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Acrothrix","Acrothrix gracilis","Acrothrix gracilis","macroalgae","Macroalgae","Macroalgae"," 144908","Species"
"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Actinia","Actinia",NA,NA,NA," 100694","Genus"
"Animalia","Mollusca","Gastropoda","Nudibranchia","Aeolidiidae","Aeolidia","Aeolidia","Aeolidia","benthos","Macrobenthos","Macrobenthos"," 137630","Genus"
"Animalia","Cnidaria","Hydrozoa","Leptothecata","Aequoreidae","Aequorea","Aequorea vitrina","Aequorea vitrina",NA,NA,NA," 117273","Species"
"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Afrolittorina","Afrolittorina knysnaensis","Afrolittorina knysnaensis","benthos","Macrobenthos","Macrobenthos"," 446837","Species"
"Animalia","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","Aglaophenia","Aglaophenia","Aglaophenia",NA,NA,NA," 116999","Genus"
"Animalia","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","Aglaophenia","Aglaophenia pluma","Aglaophenia pluma",NA,NA,NA," 117283","Species"
"Plantae","Rhodophyta","Florideophyceae","Ahnfeltiales","Ahnfeltiaceae","Ahnfeltia","Ahnfeltia plicata","Ahnfeltia plicata","macroalgae","Macroalgae","Macroalgae"," 144422","Species"
"Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Ahnfeltiopsis","Ahnfeltiopsis devoniensis","Ahnfeltiopsis devoniensis","macroalgae","Macroalgae","Macroalgae"," 145651","Species"
