"","AphiaID","adult","larva","larva_other","other","polygastric"
"1",4,NA,NA,NA,NA,NA
"2",11,"benthos",NA,NA,NA,NA
"3",90,"benthos","benthos",NA,NA,NA
"4",101,"benthos",NA,NA,NA,NA
"5",135,NA,NA,NA,NA,NA
"6",162,NA,NA,NA,NA,NA
"7",206,"benthos",NA,NA,NA,NA
"8",211,"benthos",NA,NA,NA,NA
"9",229,"benthos",NA,NA,NA,NA
"10",232,"benthos",NA,NA,NA,NA
"11",243,"benthos",NA,NA,NA,NA
"12",559,"macrobenthos",NA,NA,NA,NA
"13",801,"algae",NA,NA,NA,NA
"14",827,"algae",NA,NA,NA,NA
"15",830,"algae",NA,NA,NA,NA
"16",842,"algae",NA,NA,NA,NA
"17",844,"algae",NA,NA,NA,NA
"18",882,NA,NA,NA,NA,NA
"19",892,"benthos","zooplankton",NA,NA,NA
"20",903,"benthos","zooplankton",NA,NA,NA
"21",913,"benthos","zooplankton",NA,NA,NA
"22",919,"benthos","zooplankton",NA,NA,NA
"23",924,"benthos","zooplankton",NA,NA,NA
"24",931,"benthos","zooplankton",NA,NA,NA
"25",948,"benthos","zooplankton",NA,NA,NA
"26",965,"macrobenthos",NA,NA,NA,NA
"27",966,"benthos","zooplankton",NA,NA,NA
"28",985,"benthos","zooplankton",NA,NA,NA
"29",988,"benthos","zooplankton",NA,NA,NA
"30",1065,NA,NA,NA,NA,NA
"31",1086,NA,NA,NA,NA,NA
"32",1091,"benthos",NA,NA,NA,NA
"33",1100,"zooplankton","zooplankton",NA,NA,NA
"34",1101,"zooplankton","zooplankton",NA,NA,NA
"35",1102,"meiobenthos",NA,NA,NA,NA
"36",1106,"zooplankton",NA,NA,NA,NA
"37",1249,"macroplankton","zooplankton",NA,NA,NA
"38",1267,NA,NA,NA,NA,NA
"39",1292,"macrobenthos",NA,"zooplankton",NA,NA
"40",1300,NA,NA,NA,NA,NA
"41",1317,NA,NA,NA,NA,NA
"42",1328,NA,NA,NA,NA,NA
"43",1340,"macrobenthos",NA,"zooplankton",NA,NA
"44",1348,"benthos",NA,NA,NA,NA
"45",1358,"macrobenthos",NA,NA,NA,NA
"46",1360,NA,NA,"macrobenthos",NA,NA
"47",1407,NA,NA,NA,NA,NA
"48",1606,NA,"zooplankton","benthos",NA,NA
"49",1614,NA,"zooplankton","benthos",NA,NA
"50",1820,"megabenthos",NA,NA,NA,NA
"51",2038,"benthos",NA,NA,NA,NA
"52",2138,NA,NA,NA,NA,NA
"53",2139,NA,NA,NA,NA,NA
"54",2143,NA,NA,NA,NA,NA
"55",2162,NA,NA,NA,NA,NA
"56",2190,NA,NA,NA,NA,NA
"57",2198,NA,NA,NA,NA,NA
"58",2313,"meiobenthos",NA,NA,NA,NA
"59",2415,"meiobenthos",NA,NA,NA,NA
"60",2469,NA,NA,NA,NA,NA
"61",2504,"meiobenthos",NA,NA,NA,NA
"62",2557,NA,NA,NA,NA,NA
"63",2573,NA,NA,NA,NA,NA
"64",2588,NA,NA,NA,NA,NA
"65",2847,"macrobenthos",NA,NA,NA,NA
"66",2853,"turbellaria",NA,NA,NA,NA
"67",10295,"fish",NA,NA,NA,NA
"68",10318,"fish",NA,NA,NA,NA
"69",13551,NA,"zooplankton","benthos",NA,NA
"70",13552,NA,"zooplankton","benthos",NA,NA
"71",14164,"benthos",NA,NA,NA,NA
"72",14629,"benthos",NA,NA,NA,NA
"73",14665,NA,"zooplankton","benthos",NA,NA
"74",15308,"algae",NA,NA,NA,NA
"75",17330,"algae",NA,NA,NA,NA
"76",17640,"algae",NA,NA,NA,NA
"77",17651,"phytoplankton",NA,NA,NA,NA
"78",17903,NA,NA,NA,NA,NA
"79",17904,NA,NA,NA,NA,NA
"80",19542,"nanoplankton",NA,NA,NA,NA
"81",21890,NA,NA,NA,NA,NA
"82",22156,NA,NA,NA,NA,NA
"83",22496,"benthos","zooplankton",NA,NA,NA
"84",22754,NA,NA,NA,NA,NA
"85",22805,"macrobenthos",NA,NA,NA,NA
"86",22966,"algae",NA,NA,NA,NA
"87",100013,NA,NA,NA,NA,NA
"88",100018,NA,NA,NA,NA,NA
"89",100021,NA,NA,NA,NA,NA
"90",100036,NA,NA,NA,NA,NA
"91",100044,NA,NA,NA,NA,NA
"92",100079,NA,NA,NA,NA,NA
"93",100126,NA,NA,NA,NA,NA
"94",100182,NA,NA,NA,NA,NA
"95",100248,NA,NA,NA,NA,NA
"96",100447,NA,NA,NA,NA,NA
"97",100553,NA,NA,NA,NA,NA
"98",100653,NA,NA,"macrobenthos",NA,NA
"99",100681,NA,NA,"macrobenthos",NA,NA
"100",100685,"macrobenthos",NA,NA,NA,NA
"101",100694,NA,NA,"macrobenthos",NA,NA
"102",100706,NA,NA,"macrobenthos",NA,NA
"103",100785,"macrobenthos",NA,NA,NA,NA
"104",101182,"zooplankton",NA,NA,NA,NA
"105",101183,"zooplankton",NA,NA,NA,NA
"106",101195,"zooplankton",NA,NA,NA,NA
"107",101289,"mixoplankton",NA,NA,NA,NA
"108",101350,"zooplankton",NA,NA,NA,NA
"109",101385,NA,NA,NA,NA,NA
"110",101569,"benthos",NA,NA,NA,NA
"111",101822,"macrobenthos",NA,NA,NA,NA
"112",101846,"macrobenthos",NA,NA,NA,NA
"113",101864,"macrobenthos",NA,NA,NA,NA
"114",101992,"macrobenthos",NA,NA,NA,NA
"115",102002,"macrobenthos",NA,NA,NA,NA
"116",102012,"macrobenthos",NA,NA,NA,NA
"117",102046,"macrobenthos",NA,NA,NA,NA
"118",102052,"macrobenthos",NA,NA,NA,NA
"119",102101,"macrobenthos",NA,NA,NA,NA
"120",102135,"macrobenthos",NA,NA,NA,NA
"121",102136,"macrobenthos",NA,NA,NA,NA
